,11182-r2-AD,11186-r2-AD,11190-r2-AD,11194-r2-AD,11198-r2-AD,11202-r2-AD,11206-r2-AD,11210-r2-AD,11214-r2-AD,11218-r2-AD,11222-r2-AD,11226-r2-AD,11230-r2-AD,11234-r2-AD,11238-r2-AD,11242-r2-AD,11246-r2-AD,11366-r2-AD,11386-r2-AD,11394-r2-AD,17927-r2-NCI,17929-r2-NCI,17931-r2-NCI,1850-r2-NCI,1904-r2-NCI,1906-r2-NCI,1908-r2-NCI,1928-r2-NCI,1934-r2-NCI,1938-r2-NCI,1956-r2-NCI,1960-r2-NCI,1962-r2-NCI,2426-r2-AD,2497-r2-AD,2498-r2-AD,2499-r2-AD,2500-r2-AD,2502-r2-AD,2503-r2-AD,2504-r2-AD,2513-r2-AD,2514-r2-AD,2515-r2-AD,2516-r2-AD,2517-r2-AD,2518-r2-AD,2519-r2-AD,2520-r2-AD,2521-r2-AD,2522-r2-AD,2523-r2-AD,2524-r2-AD,2529-r2-AD,2553-r2-AD,2561-r2-AD,2578-r2-AD,3223-r2-NCI,3225-r2-NCI,3226-r2-NCI,3228-r2-NCI,3229-r2-NCI,3231-r2-NCI,3237-r2-NCI,3240-r2-NCI,3246-r2-NCI,3248-r2-NCI,3264-r2-NCI,3267-r2-NCI,3272-r2-NCI,3295-r2-NCI,3335-r2-NCI,3347-r2-NCI,3362-r2-NCI,3368-r2-NCI,5644-r2-NCI,5645-r2-NCI,5647-r2-NCI,5649-r2-NCI,5650-r2-NCI,5651-r2-NCI,5652-r2-NCI,5653-r2-NCI,5654-r2-NCI,5655-r2-NCI,5658-r2-NCI,5661-r2-NCI,5664-r2-NCI,5668-r2-NCI,5669-r2-NCI,5672-r2-NCI,5683-r2-NCI,5706-r2-NCI,5767-r2-NCI,5784-r2-AD,Popular Dist,Popular Score,Popular Bootstrap Score,Full Dist,Full Score,Full Bootstrap Score
0,82.1374186915,13.7929039802,56.6276183576,59.3829864946,45.9367591827,48.0201466634,29.5841741689,58.2754357453,41.1149833142,22.2583227697,40.1078754106,60.2813698161,78.4795617398,918.081706329,28.3856087506,27.7811351503,57.233017995,54.4041901013,42.3842362458,16.6011564935,1.78205518449,11.7541635112,31.5662043998,2.54536939926,6.67548019955,1.64652153897,24.6058806531,8.4442870305,9.14388558651,3.97321760206,13.5553727554,0.969333096965,27.523215293,27.993124514,112.245877403,48.0694882924,77.9235023228,73.3427431054,62.1207527783,60.5837733112,58.3234262068,32.9191993516,18.1725525239,79.6873142413,45.7262835603,2.39670535222,15.1341443526,11.307943697,65.5578206029,29.2078161503,21.7387589709,12.5916414994,26.1304380408,27.0823234478,49.9372971527,14.6724393534,23.8345511299,14.122279465,11.9877247935,59.0445413969,56.9908637106,41.8860137306,28.9157087827,53.3859798541,16.3979008637,6.70726717616,35.0616662975,13.4206225573,42.2024234815,97.9110627605,46.722318801,44.8582198196,90.396486215,111.153561935,68.0238149007,13.0735170974,2.45749364305,4.02151184786,12.0842892286,23.8756246106,1.0908027619,17.1442085205,18.1674808569,4.90198198339,3.57199555045,22.1748747775,3.09257383981,4.44539114811,27.2934942996,2.30053590446,6.33880184634,38.8131829554,20.5787720094,2.00766315042,9.46199855188,beta,2.3517515353128826e-05,0.7,beta,2.3517515353128826e-05,0.7
1,9.26144255859,4.44516208204,3.21018244658,6.22677695232,9.33107433504,11.0914357447,9.65165018849,10.0162550865,11.4865984512,6.21853782509,6.62670747574,10.9051149269,4.46588299352,2.95314635727,11.3179292886,7.81890438978,8.4056088889,10.3387151383,10.6403069131,12.1430454147,16.7961368885,13.9138140358,17.9141770891,9.16113555336,7.41857632566,8.32126654692,16.8258994076,15.1948071857,11.1458013658,11.8361317154,11.9122972699,10.1407154759,6.44469653868,14.5376932885,6.15375896015,10.5341196006,3.28392669202,7.39678233023,5.16979473054,5.21083231589,9.98594912634,9.82945402634,13.4006980568,9.18298432256,9.96976007709,10.6796197042,11.1778695034,14.3153755313,2.299900804,8.17416294251,5.26598540481,9.57325158723,10.1260810798,12.6482798155,7.05430029252,17.1404082156,15.8653939558,12.2081485998,15.5102372095,8.20696328297,6.24004397236,5.61011060038,9.32727142407,7.88765828475,8.73638163395,8.24663997068,10.1761783889,9.3537672369,8.60772040708,7.98420991206,9.58679061841,4.40191452042,6.25417549976,4.67628926269,10.5706224935,9.55123067283,16.5990530443,14.2792811989,9.02482597324,9.46303295068,10.6991504944,13.9007096112,20.8445665685,9.05677964599,13.0455489669,15.5948243821,1.31434388192,11.1769834581,8.22274340974,12.0724384145,12.3338042705,11.4539417006,14.3724756891,15.817279848,17.6410142493,lognorm,0.0024129507692101544,0.6,lognorm,0.0024129507692101544,0.6
2,48.9583007253,33.4970525233,30.0006141371,32.5272893943,40.3511802633,126.215837203,127.103167897,52.3562608151,39.4405209587,134.703279198,49.7546233425,76.5761060762,29.7681096255,14.9023542157,71.1879595147,31.439421422,35.5426824139,27.0581686218,52.1187636076,168.01771492,35.8758654506,65.6156115684,25.60576872,23.5775812026,37.4148899496,7.21936367085,44.0865603909,31.5556133073,35.1796118837,30.2227032613,23.4621514179,7.8540835549,27.5837857492,66.736025096,16.6107692928,40.2431988086,16.1406070092,25.7903459026,18.5363666194,9.77292647196,10.8189902889,40.949042416,38.2164205251,46.7545087508,19.4662720493,36.4224704563,13.3733234338,15.6823900015,7.68763139115,17.6230927461,20.4132248873,39.1489676673,34.5938680958,40.1427026056,18.6082138864,44.7358406404,46.8565607441,46.3175154715,26.0665918783,32.6827805486,23.3338428024,14.1623656698,22.074931493,11.2757174667,19.9724432776,32.7544322391,13.3423601838,28.0063442064,52.0644117194,10.7920797066,39.006121474,24.3460726848,25.4502897963,11.0947255056,61.5645802514,35.5037827952,49.9288105781,10.3393652436,35.6740503131,17.8794631787,49.8752156453,20.4930158359,23.9642349985,13.7663050619,46.225172232,37.7172266685,40.3838600581,51.5877058474,16.1563608205,31.7022447769,36.0667081325,35.4912741095,39.2714200097,25.2566242735,36.7826602301,t,0.00016673867581401718,0.1,t,0.00016673867581401718,0.1
3,21.8106972255,5.77050064477,4.14405370376,12.2793783256,7.73052832891,41.3631481384,53.3880230316,12.9021161735,12.7877730204,63.35061096,26.0397013432,30.5183016894,15.5439390162,8.82791081889,35.2126805353,13.4865180466,8.34522376757,11.9219058555,28.5164389775,20.2737908584,11.0658157264,15.0231427206,15.3722265786,9.56707808686,14.5027593946,4.17963159891,7.03025161516,10.2730643089,7.58563762857,9.86742029099,10.1484074104,8.15233989243,9.52167571317,14.1318450149,7.38013085257,9.71956907768,5.5912608057,5.50996618027,4.36884061736,5.31546750295,9.46925270904,11.7974496398,14.2635824158,16.6658046905,7.46680343327,15.5847938707,6.6866617169,16.1854513265,3.08782978315,9.85148775972,4.15735689853,11.2288609794,12.5825138842,15.9556412041,4.20524607602,16.0470042893,16.6050150792,8.98083493164,8.85660264592,10.0618198835,6.25157824957,7.48717768096,6.74738783869,6.08140591331,15.173057659,17.0430559394,6.92821330036,8.62832817975,8.22652136048,4.10463408902,13.0835246688,10.2754368277,4.92713405968,2.47568255084,6.9479267445,8.94617533609,15.962737726,10.2227996828,15.8052580526,7.86042253162,9.64316058661,10.6993340644,3.94006566416,6.03407943914,15.7633716683,9.52900440039,9.17463572476,13.1879937394,8.17648324991,11.9326862334,13.2899964134,7.25504891943,15.2786581739,16.0280290185,12.0279642609,genextreme,0.0007066059898620339,0.0,genextreme,0.0007066059898620339,0.0
4,3.64669300744,0.0,5.54486058954,7.14119874252,5.24804880921,9.91604274669,10.0355832347,1.57985096002,0.0,5.75482276739,5.71417726597,3.57019502328,0.0,0.0,8.2191165636,9.33682018612,4.60134624522,4.92948018775,4.29985005392,10.7631538903,7.24560161836,6.419944729,7.73541836386,3.08296897065,0.0,0.0,3.37992866114,1.41147239609,7.03375814347,2.49370113763,0.990677866256,0.0,1.6838586821,4.96383657739,3.07687948008,3.98469309866,4.14246961804,1.95626950518,2.1428123028,2.31243763416,0.0,2.12585622411,1.93369265987,6.85313001443,7.99263466096,2.22285107797,3.92284154058,0.0,0.681452090074,0.0,3.6994451242,7.91764219508,10.5122451888,7.76648760598,1.09336397976,10.2051033118,8.44834832446,4.59613981012,3.50014725779,5.32623627203,2.74515797675,2.64687549003,0.0,0.0,4.23695761646,0.0,1.26179938691,2.73688371561,7.9805864917,1.66114434412,19.1948379788,4.6084559642,2.32560727617,0.0,0.0,0.0,7.69063858828,4.25464296948,0.0,1.90786954651,2.65738119655,1.09520742391,1.98622488276,7.90204024113,10.5274030353,5.0688426491,4.25228902973,5.60966025834,0.0,11.5994310323,2.28841490385,3.84012662585,6.97549773179,3.70474857591,0.893505916521,lognorm,0.04459630419957581,0.9,lognorm,0.04459630419957581,0.9
5,66.8560384698,21.7566640163,25.3546046326,18.2231199619,14.9166532544,45.7227876219,55.3503474898,21.6439581523,10.1640931513,180.016563426,111.230914499,76.3472474208,50.0712135035,23.3939636701,88.9213995231,26.67818914,15.3257437931,36.1015459006,61.5825982299,51.9263795179,11.033802759,16.9113617586,24.5539271295,7.27405134357,8.49606570852,8.84055410921,8.61574542348,9.2298021031,22.1401064024,5.95386061089,13.482884131,17.0503206287,8.47986386669,22.7379096889,15.1106536744,22.0368938771,5.48394293995,9.20256956578,8.41521918915,8.84167330708,5.85237778788,9.93469443348,15.4487488847,13.5173529228,7.75075229622,7.67442439209,7.1212947285,16.0323457058,5.28125369808,9.33710814911,12.3636179069,9.37052390655,11.2953001876,22.6971637791,12.668303804,29.5427327507,19.0322224276,22.3908796561,22.387523355,16.3206656195,9.14668183009,8.68934423818,11.7203761073,7.97316135559,17.0103224661,18.8389908664,8.20169601493,18.6305939677,9.8250980075,3.90100994361,16.7928261387,10.0301688633,6.09650720985,11.9657989957,12.3660347563,18.1516601022,11.7937752959,8.61419494368,12.308728618,5.06948193787,0.0,17.786589798,20.6934407622,13.2455402323,10.4719372659,13.5798807204,0.0,27.7201890879,7.04310933408,13.2549568701,18.0924445919,8.54394955163,13.1501830352,9.71664596555,11.6155769148,gamma,0.0014481592223798204,0.1,gamma,0.0014481592223798204,0.1
6,5.07063980083,19.3522887477,2.85998072513,8.59991921737,0.4899630631,8.55899810356,8.37187336792,16.3356589266,8.12700837495,11.652327091,3.35680755738,7.34636283636,1.266444431,2.57480732218,18.5202479268,1.68171965925,1.87193876118,13.037335679,6.73608470917,8.04582904222,5.1007328035,12.7336771371,10.6608527876,5.58445269061,3.34393256749,6.01613639237,4.92855052042,7.69559297692,12.1738121714,1.94484825566,8.16705167791,23.9102163918,14.7307349456,6.90982701758,1.58771361072,3.90764102217,8.28493923609,1.22700927544,1.66432023519,5.13758768494,3.7750472938,8.14560751219,11.5189863824,0.860576816514,7.5509364297,3.47708548509,5.605651406,5.38056895448,3.60956653961,3.9808508995,0.0,7.39956034448,5.49211177211,3.97306032632,6.15017238618,8.09118905438,7.84415078708,3.96180574432,12.0660028472,7.3158031285,3.36800894626,1.82434047719,5.05470403832,2.44752540272,18.5976192723,0.0,6.22721364097,3.40736526844,10.3415612319,18.3047389662,11.8718903778,39.4235980803,3.35045116059,0.630382131,2.53907414669,4.34343295303,4.90401633233,2.22640221143,27.1689787153,20.2779277515,14.3893130294,8.7511285507,10.0066873169,19.9475571703,12.3466802722,7.55603873158,15.1149546421,15.3789365195,0.0,3.1067984878,8.9065537807,4.01286588584,7.33375592346,15.284860891,9.71401304115,beta,0.001056720700311044,0.6,beta,0.001056720700311044,0.6
7,5.76524799272,17.1473006964,10.9146203184,9.55788490234,7.68697605664,6.18684132579,8.93710813034,5.05552307206,0.565264362037,15.385827812,9.76624593556,3.0781489143,10.5848092443,5.85374562634,12.8068119651,15.0917959032,0.0,11.5141143072,6.79855226443,18.5754628284,9.81730999837,12.851690827,5.63173518275,1.67862723313,15.3944747459,9.22052061821,0.0,15.7225751251,1.74220778631,0.0,5.69035701227,0.0,44.9069362197,11.3533452955,3.31777395894,5.45968999154,16.9884181486,1.0418003282,2.77733439247,1.7369441053,4.03866791488,2.5047216898,5.03175939449,7.17847003043,6.13119211492,3.52675813488,1.25932129002,13.0358499873,0.894405868222,2.51598722581,0.0,12.0397717021,44.151429793,17.5723386241,9.1884626761,17.3174355179,11.6985143876,23.0363423897,10.7800062508,3.62681458212,7.71643145565,3.37450261677,8.9186925757,0.416827470333,0.0,8.51541934751,5.46779734329,5.33087791997,0.0,3.37587398966,13.827510637,19.9570670046,4.55924138323,1.52437860769,10.2519102576,18.7675199985,4.70653916458,1.62026129523,7.6427518386,14.1509409792,2.32085694022,15.7857300812,3.15205253133,6.33974575219,6.99978010041,2.70758054548,72.5466279921,8.06520965444,8.43091412898,9.01939076563,3.62063766477,4.91642509192,12.6549437702,8.75163660596,12.9672909936,lognorm,0.000574025411985138,0.8,lognorm,0.000574025411985138,0.8
8,30.2617635602,81.1857834615,74.6163134491,43.6527545084,72.8085111767,92.695765978,102.467464101,121.111374595,57.0703698351,75.0267183104,78.3255096723,45.0965980344,72.8805442554,20.7771186773,36.943657956,167.582272019,3.74387752236,71.9512205507,34.7527832445,104.63823575,62.2332085984,80.7803707169,53.775401317,70.8424578061,84.6262638285,16.8071852477,63.4566242816,52.4454047694,43.0033151725,71.8400696155,47.7941663281,39.6432381964,62.0847175954,35.7146480788,14.9245079407,50.9864597597,56.1165120019,36.4398603687,10.3499914626,32.1020753918,52.8506621132,47.8422890833,128.496996107,71.1235254331,38.1858637552,35.689798872,20.360884928,47.298700667,8.624628015,27.7205881457,79.3151394381,25.9040925301,34.7976769311,116.571280638,27.6074404891,57.388086073,74.7017334584,61.2967023587,47.7160650128,61.0133835986,33.9915149474,10.9671335045,32.9431288595,15.7966923372,62.029559441,54.7454721609,59.0475379765,151.265034917,10.9441016604,65.0096876866,33.0754904706,43.8384214409,29.9963921554,29.3184998382,48.6248634703,68.5765396838,38.0253257446,46.8243857764,41.2614098489,24.7914019929,31.4360072553,71.0410507858,52.9911845079,62.8314087941,66.6254822236,26.5825640376,32.9745685669,73.3489539439,170.873465371,55.9331229482,65.2789152853,37.8963361139,25.3414985573,48.0619029323,21.8679845467,t,3.473047202824142e-05,0.9,t,3.473047202824142e-05,0.9
9,0.0,3.68279919198,4.7277232395,9.56877087603,3.82171189218,9.98015509204,8.54251027733,32.0393774692,13.0010803268,0.0,4.05206866959,3.39855103177,6.83879992739,8.65976013662,0.0,2.08576918778,0.0,2.1948780398,9.89069624994,4.62794388181,4.24705367321,5.14539687839,1.79689605053,3.91679687731,2.81138034378,0.0,0.0,1.32555668502,10.1610752257,0.0,5.38832107744,3.20625562842,7.15942792173,8.16899730241,2.85788449929,10.2038964156,0.440003249585,5.39421058825,0.0,1.84157929236,1.90861329659,3.60974596471,1.5802219586,4.22942020799,1.56697705853,3.30323121084,0.880410459392,5.26027168111,0.308782978315,11.305169268,3.53074078629,7.43334829126,3.62565191206,4.86065890987,4.48910018615,5.41495277771,9.18796944781,8.05715550249,1.45373528279,3.30558243342,3.2295976197,1.27598380197,7.80969284443,3.73007146528,2.89962881127,6.12083944491,5.9234471219,4.20974483165,1.88140174612,0.396531230532,4.29386187344,4.54391176302,2.37816337281,0.0,2.09287701631,3.48987274584,1.8979750011,0.0,1.34663633632,0.0,4.38641961702,1.22157751129,2.97933732413,2.00381249668,0.0,4.20829379356,1.97151582288,13.8548024116,6.38390205651,1.72002684446,4.88839803404,3.0694437736,6.37488841048,1.99657108881,3.06999468753,lognorm,0.004157199425942765,0.1,lognorm,0.004157199425942765,0.1
