,11174-r1-AD,11178-r1-AD,11182-r1-AD,11182-r2-AD,11186-r1-AD,11186-r2-AD,11190-r1-AD,11190-r2-AD,11194-r1-AD,11194-r2-AD,11198-r1-AD,11198-r2-AD,11202-r1-AD,11202-r2-AD,11206-r1-AD,11206-r2-AD,11210-r1-AD,11210-r2-AD,11214-r1-AD,11214-r2-AD,11218-r1-AD,11218-r2-AD,11222-r1-AD,11222-r2-AD,11226-r1-AD,11226-r2-AD,11230-r1-AD,11230-r2-AD,11234-r1-AD,11234-r2-AD,11238-r1-AD,11238-r2-AD,11242-r1-AD,11242-r2-AD,11246-r1-AD,11246-r2-AD,11250-r1-AD,11254-r1-AD,11262-r1-AD,11266-r1-AD,11270-r1-AD,11274-r1-AD,11278-r1-AD,11282-r1-AD,11286-r1-AD,11290-r1-AD,11294-r1-AD,11298-r1-AD,11302-r1-AD,11306-r1-AD,11310-r1-AD,11314-r1-AD,11318-r1-AD,11322-r1-AD,11326-r1-AD,11330-r1-AD,11334-r1-AD,11338-r1-AD,11342-r1-AD,11346-r1-AD,11350-r1-AD,11354-r1-AD,11358-r1-AD,11362-r1-AD,11366-r1-AD,11366-r2-AD,11370-r1-AD,11374-r1-AD,11378-r1-AD,11382-r1-AD,11386-r1-AD,11386-r2-AD,11390-r1-AD,11394-r1-AD,11394-r2-AD,11398-r1-AD,11402-r1-AD,11406-r1-AD,11410-r1-AD,11414-r1-AD,2426-r1-AD,2426-r2-AD,2497-r1-AD,2497-r2-AD,2498-r1-AD,2498-r2-AD,2499-r1-AD,2499-r2-AD,2500-r1-AD,2500-r2-AD,2502-r1-AD,2502-r2-AD,2503-r1-AD,2503-r2-AD,2504-r1-AD,2504-r2-AD,2513-r1-AD,2513-r2-AD,2514-r1-AD,2514-r2-AD,2515-r1-AD,2515-r2-AD,2516-r1-AD,2516-r2-AD,2517-r1-AD,2517-r2-AD,2518-r1-AD,2518-r2-AD,2519-r1-AD,2519-r2-AD,2520-r1-AD,2520-r2-AD,2521-r1-AD,2521-r2-AD,2522-r1-AD,2522-r2-AD,2523-r1-AD,2523-r2-AD,2524-r1-AD,2524-r2-AD,2525-r1-AD,2526-r1-AD,2527-r1-AD,2529-r1-AD,2529-r2-AD,2531-r1-AD,2532-r1-AD,2533-r1-AD,2534-r1-AD,2535-r1-AD,2536-r1-AD,2537-r1-AD,2538-r1-AD,2540-r1-AD,2541-r1-AD,2542-r1-AD,2549-r1-AD,2550-r1-AD,2551-r1-AD,2552-r1-AD,2553-r1-AD,2553-r2-AD,2554-r1-AD,2555-r1-AD,2556-r1-AD,2557-r1-AD,2558-r1-AD,2559-r1-AD,2560-r1-AD,2561-r2-AD,2561-r1-AD,2562-r1-AD,2563-r1-AD,2564-r1-AD,2566-r1-AD,2567-r1-AD,2568-r1-AD,2569-r1-AD,2570-r1-AD,2572-r1-AD,2576-r1-AD,2577-r1-AD,2578-r1-AD,2578-r2-AD,2579-r1-AD,3350-r1-AD,3353-r1-AD,3356-r1-AD,3359-r1-AD,3371-r1-AD,5784-r1-AD,5784-r2-AD,Popular Dist,Popular Score,Popular Bootstrap Score,Full Dist,Full Score,Full Bootstrap Score
0,40.1678690563,43.2210092564,102.123100158,82.1374186915,59.9417670713,13.7929039802,72.0009924809,56.6276183576,68.0094133529,59.3829864946,36.4298819446,45.9367591827,23.0489524263,48.0201466634,42.7589099322,29.5841741689,324.773645629,58.2754357453,52.2633511373,41.1149833142,514.328812818,22.2583227697,44.0460695909,40.1078754106,39.1950058845,60.2813698161,77.0003422265,78.4795617398,115.944958238,918.081706329,31.2471399223,28.3856087506,38.2925733186,27.7811351503,87.9335942382,57.233017995,11.7176841182,67.1153601547,47.3047480387,48.2343956849,36.1434622536,406.437601426,62.1034299869,74.7529684759,27.5840358427,56.3518121435,24.1145621065,16.2971376336,41.4281478015,89.5234834212,279.024574317,50.6386409607,45.8878329244,56.604724198,28.2067857254,13.777357235,43.3757636717,10.6284529839,172.779319672,65.9953130876,46.9684841722,33.5640684419,18.759103565,116.748502849,67.6957260307,54.4041901013,42.4161997876,32.1553169241,5.96107785235,11.9785624822,47.1791416251,42.3842362458,74.135100213,204.678786051,16.6011564935,27.1392379487,32.1012840989,42.2912211637,121.941785628,92.839193166,30.3312062145,27.993124514,95.5505198241,112.245877403,269.61435929,48.0694882924,92.904534068,77.9235023228,97.1415614587,73.3427431054,100.446077071,62.1207527783,74.8852912781,60.5837733112,327.224069969,58.3234262068,313.52838362,32.9191993516,23.3628219919,18.1725525239,369.107447419,79.6873142413,62.5200452481,45.7262835603,29.4678167578,2.39670535222,494.809705959,15.1341443526,13.9986906537,11.307943697,238.310120876,65.5578206029,267.250875507,29.2078161503,21.9110516742,21.7387589709,39.5430283467,12.5916414994,21.4739494123,26.1304380408,10.6249455328,17.1795009902,55.9294966126,15.0714340772,27.0823234478,9.37505613274,9.94937309507,9.83868626491,12.2904290993,17.1345641254,208.805516237,10.3471372502,6.85975501746,510.321626675,5.59909569355,27.6412005486,40.5654622402,69.1892031182,46.8784602986,47.9007925107,50.2750822116,49.9372971527,41.1876060683,13.5577722851,10.7122585663,41.4012882237,11.0923552812,10.6601160969,15.7361898067,14.6724393534,199.083138311,16.0265496148,26.0421691712,27.9433011486,19.489827238,32.4192430987,8.39943912032,545.864468444,36.1494089119,7.02426468527,13.5785309263,57.3574319183,34.8849097574,23.8345511299,4.98855072181,40.2128630369,73.0368840287,26.5283033233,64.6555017619,391.906788175,10.7350820492,9.46199855188,lognorm,3.4882110442777464e-05,0.4,lognorm,3.4882110442777464e-05,0.4
1,4.66951477779,8.40157570197,6.82751231291,9.26144255859,11.1485348499,4.44516208204,5.42635835937,3.21018244658,9.38671590548,6.22677695232,9.09125925353,9.33107433504,13.2988150546,11.0914357447,11.4765198213,9.65165018849,10.1419156043,10.0162550865,9.47163749103,11.4865984512,7.97026417299,6.21853782509,8.64174653197,6.62670747574,10.5582335243,10.9051149269,5.48432006023,4.46588299352,3.71005657495,2.95314635727,12.5967166402,11.3179292886,7.76730038337,7.81890438978,6.52494730765,8.4056088889,12.6045476277,5.14867561579,6.69866411465,12.389944132,9.21981594193,5.92758110164,11.0308417941,7.22057983112,13.6303927113,9.49500622745,9.45072660197,11.4701261937,11.6869515012,5.31481802789,9.5957535607,5.41857395755,9.18616182401,12.1366509059,10.5959600857,13.6933489592,15.6476644931,13.6381820943,7.38908171867,9.8357794615,6.2850455583,9.52778465551,7.69296571215,8.76810410886,12.1943292752,10.3387151383,10.5281518389,7.08276861171,17.0779847665,12.9277163799,8.39021374744,10.6403069131,6.75514095373,12.1944863991,12.1430454147,7.07346945386,9.42434204651,8.77402433565,4.12666414857,5.81650881379,15.6142895897,14.5376932885,7.20795500062,6.15375896015,10.8391970971,10.5341196006,5.83257164552,3.28392669202,4.24565895745,7.39678233023,5.37736149242,5.16979473054,7.54883043603,5.21083231589,9.53580840214,9.98594912634,10.858520853,9.82945402634,15.3850053699,13.4006980568,7.06111339407,9.18298432256,8.28762254927,9.96976007709,11.1299683117,10.6796197042,18.9030280949,11.1778695034,22.2186723621,14.3153755313,3.23782518953,2.299900804,7.71614280506,8.17416294251,10.4772643031,5.26598540481,11.0636813721,9.57325158723,12.2724177211,10.1260810798,13.9615329425,18.7213846449,9.3158534616,15.1458871742,12.6482798155,15.8949318096,14.6339135555,22.3616846206,10.4328694218,11.9232719769,11.7912701692,15.3514275563,17.017710345,7.0850186592,15.8568139759,13.6446817346,10.9182832485,10.2818547566,10.8727295552,5.22873119714,9.73205017544,7.05430029252,9.67595569933,14.17768736,14.5424778922,15.3978837333,15.62449298,15.0272062355,13.2669184536,17.1404082156,11.7918312399,18.2649516337,10.4037261197,15.1160151038,7.95430790247,16.4847339314,10.5125055657,20.0736109422,14.9354772291,15.8672149557,14.6443175047,10.5541152914,10.00745163,15.8653939558,17.0497578003,12.3839323506,13.0163637591,13.4812221884,7.79783775377,9.59011800517,11.4604254309,17.6410142493,dweibull,0.0031047868616593337,0.4,dweibull,0.0031047868616593337,0.4
2,91.8086857117,52.4485463177,105.386495114,48.9583007253,32.2232271246,33.4970525233,29.4945186658,30.0006141371,71.5043415391,32.5272893943,29.2580326333,40.3511802633,135.617662534,126.215837203,154.684556849,127.103167897,64.0578724424,52.3562608151,28.4616283177,39.4405209587,275.80894401,134.703279198,121.091802336,49.7546233425,150.772950393,76.5761060762,48.2229300619,29.7681096255,29.4073196002,14.9023542157,149.055457335,71.1879595147,52.674045457,31.439421422,38.9454246258,35.5426824139,555.464787539,12.6099951252,266.984392831,298.731375041,131.340570268,24.0969057828,25.5886225679,34.9480381064,52.9915188572,171.62165433,219.663836291,421.849734919,208.805314769,74.3428999448,625.797208012,63.4887129364,121.42924086,90.3872678881,315.317640025,310.338572073,140.117722961,448.138669126,84.1919863599,43.8082095453,98.3277187345,30.9498128342,72.9698463476,19.5704953993,62.9578019174,27.0581686218,57.6500343228,40.3808325482,277.620704557,432.91029424,96.951238755,52.1187636076,20.2539928427,224.151823411,168.01771492,31.7681995766,401.479409562,23.1642719779,12.6421838143,70.1730188567,64.9486880027,66.736025096,23.725742896,16.6107692928,53.6625604317,40.2431988086,42.1326557025,16.1406070092,20.7860386458,25.7903459026,16.511535389,18.5363666194,20.8597858794,9.77292647196,13.2491643799,10.8189902889,37.0923422415,40.949042416,70.7688299791,38.2164205251,51.0548745405,46.7545087508,27.9297562183,19.4662720493,51.2166301879,36.4224704563,30.2778453283,13.3733234338,53.8316095338,15.6823900015,7.5274279884,7.68763139115,36.7084146682,17.6230927461,52.2528531804,20.4132248873,63.2336177125,39.1489676673,66.513611185,34.5938680958,89.5352377726,68.759676492,27.5808847258,100.979671933,40.1427026056,101.681618149,51.7620619347,63.3543150237,20.8784618551,104.102498778,42.5464784627,139.358376135,39.0767762969,71.4385185301,41.5011096817,50.7085190653,71.7457588037,21.1609956816,59.9280639724,28.6819885803,34.4497351343,18.6082138864,123.195650243,37.1030652206,124.568616915,69.0164739841,50.3294926191,44.9466805282,104.131772189,44.7358406404,107.178384035,84.5686680567,39.4575002203,65.8945902736,39.2278572486,79.1223210725,54.8340742572,72.3627568775,90.2769306727,70.3406598483,40.3154269164,35.2057460647,94.4695068191,46.8565607441,19.1782061083,29.7028151867,63.8528059085,77.1514351172,9.56836130172,22.2364274625,58.390142227,36.7826602301,genextreme,1.014009077588953e-05,0.9,genextreme,1.014009077588953e-05,0.9
3,44.5612297343,8.63387733428,19.8365406677,21.8106972255,9.51869828304,5.77050064477,9.9370187456,4.14405370376,13.2948957353,12.2793783256,10.6215996129,7.73052832891,43.4683928645,41.3631481384,53.0641148439,53.3880230316,15.9505728806,12.9021161735,11.2585185467,12.7877730204,79.8811588457,63.35061096,38.2705917844,26.0397013432,43.3449304619,30.5183016894,17.1003298092,15.5439390162,11.8130022233,8.82791081889,38.2225575379,35.2126805353,9.17063616692,13.4865180466,3.81283877455,8.34522376757,141.221928082,8.80021860571,38.608664079,115.308133355,49.789235788,11.4802954142,10.6436111049,11.052128172,16.9598720377,42.004321161,27.4920692827,109.73087392,43.2207678525,15.5033457048,129.548337623,13.0785660582,48.6060773004,31.0012278575,80.8579414024,64.9023936646,34.5014588438,151.685904759,59.7658322438,13.5839409443,24.1616721463,15.4253470691,31.7718150642,11.1831402282,11.1957035838,11.9219058555,14.6483348448,15.0706833719,56.2891272624,111.18316671,14.5142265455,28.5164389775,15.6362653548,15.6589495203,20.2737908584,8.89384762214,59.2404631358,8.38194836896,5.39202249246,30.5500610257,10.9057208561,14.1318450149,7.5158058033,7.38013085257,10.7111750842,9.71956907768,4.72526011132,5.5912608057,1.35993763481,5.50996618027,3.61020438907,4.36884061736,6.20880136454,5.31546750295,8.87391111305,9.46925270904,12.3527080712,11.7974496398,17.4151237675,14.2635824158,18.6384189589,16.6658046905,9.65718729258,7.46680343327,8.33443737682,15.5847938707,9.57010915009,6.6866617169,14.6476365781,16.1854513265,4.88767241986,3.08782978315,8.78278607517,9.85148775972,7.66330690534,4.15735689853,7.17763209411,11.2288609794,9.23491088717,12.5825138842,6.06841835142,16.3564684988,8.9491778026,13.0718366131,15.9556412041,16.037143863,11.6480465503,23.1806272923,8.88066202002,13.4856317532,14.547532781,17.0018911668,10.5216352096,13.4064575689,9.17508063846,17.9876706832,9.07439860122,10.9644675205,5.73903176737,8.91340754412,5.4796609948,4.20524607602,20.9177747652,9.04616812928,23.4014045266,11.8627101477,12.4271629596,15.6650958064,26.9128917203,16.0470042893,10.8766757378,24.8166214699,10.8746316177,19.4229870605,9.26623684329,13.6015561677,15.3514277256,21.0511857972,20.1755719077,23.1419572964,17.9339087706,9.8367397927,12.3289294376,16.6050150792,14.1453127134,8.88058306719,14.0330926021,13.4012488364,3.8549697108,4.80091377548,15.7295893346,12.0279642609,genextreme,0.0004781824700084205,0.0,genextreme,0.0004781824700084205,0.0
4,3.80339510126,2.50369537048,10.8260064733,3.64669300744,7.92281664462,0.0,5.85594506282,5.54486058954,8.92623550257,7.14119874252,12.3335057776,5.24804880921,10.1689976883,9.91604274669,18.5044092789,10.0355832347,4.76309896652,1.57985096002,0.945995852988,0.0,16.2345565368,5.75482276739,15.823520979,5.71417726597,1.7883652875,3.57019502328,7.73179197801,0.0,1.66155907958,0.0,13.7801480138,8.2191165636,10.095314784,9.33682018612,9.65692201532,4.60134624522,52.9235799248,5.64771982441,20.3517595192,29.1583785494,15.8308810611,2.35463201864,7.07480934802,4.85689226309,5.91548268658,10.5798165213,13.0065493745,34.1116773782,7.90382477023,3.47507332593,38.1677612113,1.19687376572,9.08946538375,14.0165125951,8.78274766459,21.9981670834,11.0190196815,38.5933898841,9.03563584014,0.0,2.67208523736,2.57708609668,5.26641500225,0.402506019885,3.51738160166,4.92948018775,2.89497069102,61.4933664611,11.9333397157,25.8794619725,10.5193885929,4.29985005392,6.94945126881,16.4959299074,10.7631538903,3.38070231251,11.3628548349,0.593412273908,3.81887428113,6.9948071002,4.49742215363,4.96383657739,4.02329152465,3.07687948008,11.1592521295,3.98469309866,1.32658114494,4.14246961804,8.66822037146,1.95626950518,2.09240074201,2.1428123028,2.47905378225,2.31243763416,6.08048018113,0.0,2.39526195286,2.12585622411,5.19051893009,1.93369265987,2.67008128343,6.85313001443,2.73912948662,7.99263466096,3.77605297923,2.22285107797,5.81631633691,3.92284154058,3.48164638776,0.0,1.15489306123,0.681452090074,3.222624348,0.0,2.61375489515,3.6994451242,0.473371441789,7.91764219508,8.76760214348,10.5122451888,1.42847648479,4.97986747927,1.37503372127,3.27593627083,7.76648760598,7.69039026991,2.65879323431,7.38185824962,1.36136222943,5.03655454196,5.757289857,3.01527005758,1.15374307423,3.11690750201,2.07778941753,4.77179038906,12.2960172827,0.0,2.3049255374,4.57367762434,0.0,1.09336397976,7.8725130634,4.98228041638,13.3810565482,9.14417240549,4.60456912325,6.12128645839,15.3896254062,10.2051033118,17.6509302592,7.96216973847,6.3846024503,4.63987800159,2.52930444447,8.99067264482,2.11306644536,5.36555289712,6.04904938706,3.15819652516,4.3861216879,6.22812364775,5.90826559141,8.44834832446,8.00385249144,1.57126961215,3.78759426124,1.97648427,1.87097878472,1.94378460178,4.05156088922,0.893505916521,lognorm,0.0006674062686352841,0.7,lognorm,0.0006674062686352841,0.7
5,66.7916347651,41.581992184,40.0629066714,66.8560384698,17.5886529511,21.7566640163,16.3129898179,25.3546046326,23.9567881412,18.2231199619,16.3409224814,14.9166532544,58.5706342826,45.7227876219,61.7365777605,55.3503474898,21.5152665512,21.6439581523,11.5738504977,10.1640931513,139.936416824,180.016563426,65.5055122212,111.230914499,66.8344206804,76.3472474208,28.1911151426,50.0712135035,19.5403899975,23.3939636701,87.7218505685,88.9213995231,32.9403159116,26.67818914,8.81718966616,15.3257437931,271.912351989,7.02313435061,57.3162060428,245.763476345,89.1992108239,14.8189527541,30.2458565322,10.6851629788,39.9322018879,110.732302355,60.5433895078,99.4913966825,65.0232182128,93.5472525355,231.227072224,42.1734792359,129.379837058,27.9780584742,128.058127239,114.779307139,153.708211982,289.100584769,117.694599972,12.4645235887,57.8826351417,20.0591461083,62.7036702673,31.4933764208,18.7519713149,36.1015459006,47.5447433713,22.6512823652,193.695886163,133.157881635,22.3247144687,61.5825982299,25.4889413313,32.6316404077,51.9263795179,27.4929114214,72.0419626815,18.9785961173,7.46675419147,42.3651792975,14.9069485468,22.7379096889,12.8235782633,15.1106536744,10.956550609,22.0368938771,10.5687952374,5.48394293995,13.3340226632,9.20256956578,4.43415494032,8.41521918915,5.21494646986,8.84167330708,6.87700064766,5.85237778788,13.3336248709,9.93469443348,11.4125574784,15.4487488847,12.3699859459,13.5173529228,8.65049867784,7.75075229622,18.8176783827,7.67442439209,8.89978900487,7.1212947285,14.2150059619,16.0323457058,4.01119107875,5.28125369808,10.5756545505,9.33710814911,6.02831980072,12.3636179069,25.9913947457,9.37052390655,21.2069158445,11.2953001876,11.7301901123,23.0136553592,6.98975474979,17.3262993025,22.6971637791,30.7725004684,22.7369024601,17.2660413296,13.5245612139,36.2323566539,12.8448222873,20.9693517689,11.424564572,9.73877123119,19.6296421288,22.9243847032,12.4824775279,10.2605231077,6.60046858438,7.35765530873,11.3038193409,12.668303804,28.59590479,12.9722969367,17.1742092355,42.9056174091,15.893523985,13.3220783443,16.46180902,29.5427327507,13.1172288637,23.334574471,10.9512906523,25.6961853451,6.72511321917,14.3388573515,17.1686648686,16.7187517809,16.5171647934,27.8356907528,14.306135225,13.8475209899,12.0047591132,19.0322224276,15.4423359011,11.9765661548,20.2675397932,18.7708881827,18.4586497553,13.7118781246,12.9111121943,11.6155769148,genextreme,7.585923899008759e-05,0.2,genextreme,7.585923899008759e-05,0.2
6,5.799236095,6.59478522843,8.26429712264,5.07063980083,24.4022752654,19.3522887477,4.10368350928,2.85998072513,0.389637264001,8.59991921737,5.09681153586,0.4899630631,11.157973436,8.55899810356,8.10455265733,8.37187336792,6.5521654076,16.3356589266,6.02634395237,8.12700837495,16.0665404278,11.652327091,10.5203870824,3.35680755738,10.2831004031,7.34636283636,4.7392342614,1.266444431,2.53786078593,2.57480732218,17.0801008825,18.5202479268,2.48031440814,1.68171965925,9.10088302736,1.87193876118,6.55170417586,6.02504593337,11.960160292,14.2241765489,12.8653779891,9.87539697368,4.75142521302,3.27030745715,7.99506038878,10.6731335358,18.0308535281,23.2867457829,5.31965820323,6.26158723124,23.043403474,14.6671439654,27.8808069395,6.49706583822,10.9812677251,19.5859294491,12.9558285033,21.5567682777,36.387485296,10.7162200783,3.90149534657,8.56137736926,30.9051898107,8.61580453376,18.6743004278,13.037335679,9.43305056626,77.7746828065,12.1458359243,27.7657551617,15.6947591331,6.73608470917,5.92074960073,18.6254622847,8.04582904222,5.37791721713,12.81369145,7.94748581127,2.86130580467,8.00171654494,11.3174566871,6.90982701758,1.78341154655,1.58771361072,5.27023953345,3.90764102217,2.88339538115,8.28493923609,3.57121834181,1.22700927544,5.40988585629,1.66432023519,2.61305668939,5.13758768494,2.92805410936,3.7750472938,10.0486941927,8.14560751219,5.88185654657,11.5189863824,2.85782137367,0.860576816514,4.6822726267,7.5509364297,8.12581566526,3.47708548509,6.54851218783,5.605651406,14.6991402229,5.38056895448,2.51601702626,3.60956653961,11.5288251323,3.9808508995,4.51567866991,0.0,5.41624998512,7.39956034448,11.6715921935,5.49211177211,12.6373248143,15.0750381642,4.52615266585,11.3487792239,3.97306032632,11.1034795504,11.5319881155,9.79318944981,19.0081791661,13.5061891187,1.57500720672,14.9811312335,19.4129812925,8.28671793708,17.0488089575,4.51890748826,6.97154139112,6.77279851704,9.02180450246,4.29294037886,10.1411407802,6.15017238618,18.725566052,4.99376032517,7.5739498283,7.68282405397,9.674768832,11.6905530959,2.49093162803,8.09118905438,12.8963292597,8.58565157936,6.24223567182,6.76215403819,7.06786942894,8.33040292794,7.00481526638,23.3173820519,18.0264086525,9.20233125435,14.7980367227,14.9561922152,13.081841159,7.84415078708,4.74466601985,17.5051073828,5.6981506585,4.85552494074,14.4906679031,4.07492193626,8.49687961422,9.71401304115,genextreme,0.0003621087392315238,1.0,genextreme,0.0003621087392315238,1.0
7,3.28874427898,19.6036766379,4.9452128335,5.76524799272,6.82494062387,17.1473006964,1.77487138005,10.9146203184,2.12529416728,9.55788490234,2.96989781606,7.68697605664,17.3943381511,6.18684132579,13.0146101067,8.93710813034,5.6227802434,5.05552307206,6.68036577665,0.565264362037,38.5912000471,15.385827812,12.8499013649,9.76624593556,11.0397164863,3.0781489143,4.04300654774,10.5848092443,3.44830411721,5.85374562634,19.5379968123,12.8068119651,6.89701462613,15.0917959032,5.94621285079,0.0,43.434140374,2.53173647301,8.28198472356,65.6300192513,18.6626020396,7.5324795422,15.0810654889,6.49744253862,7.2084843667,24.9273075038,27.5130475882,26.7038875448,13.9335467599,2.63589153205,39.7764943939,6.64808973507,19.0706868276,11.257183449,25.7022860688,21.6261304334,29.6649080005,36.0390072443,32.822219347,4.15064862186,5.36926047695,5.19134170437,15.3859314243,7.58234313136,8.89886449379,11.5141143072,8.38131964105,103.345061501,33.4849288742,27.8979158311,17.3285319105,6.79855226443,1.38303224264,28.6374428643,18.5754628284,13.7516567912,17.99525079,8.38194836896,2.10893057316,8.32307062305,12.014240401,11.3533452955,8.08904522897,3.31777395894,11.4366331576,5.45968999154,11.0073344588,16.9884181486,1.74691175853,1.0418003282,9.06345606384,2.77733439247,6.00779700382,1.7369441053,9.4572782153,4.03866791488,16.5044954561,2.5047216898,5.49778009297,5.03175939449,7.92680381018,7.17847003043,2.83277493916,6.13119211492,25.8482300623,3.52675813488,12.5607682595,1.25932129002,11.3102003957,13.0358499873,2.75318256562,0.894405868222,8.76009153751,2.51598722581,11.2780743135,0.0,10.8104826939,12.0397717021,18.2472938012,44.151429793,21.23946423,28.3789937521,6.863709992,19.96406617,17.5723386241,27.8079261253,13.9586644801,18.357964892,15.9546564085,14.1434674485,12.3872188421,5.84010200627,21.4194909869,3.39229691986,12.8604229211,13.5567224648,34.8369891506,5.71688189785,4.16749162823,1.69612085813,6.74999497787,9.1884626761,6.38224310078,11.5487882463,10.1439034405,20.74899755,10.2645675736,2.90730439006,13.5593321665,17.3174355179,36.858676775,9.93482539897,4.54478562071,27.6936216148,7.71792430952,12.2259942575,21.4159284238,8.53156237058,11.3012180165,16.7275512505,9.37687230008,6.45637948825,28.6838451632,11.6985143876,16.7726160936,5.34231668131,7.85450963319,12.2473476152,5.12321707494,7.4355615791,19.2941339533,12.9672909936,lognorm,8.507395635887323e-05,1.0,lognorm,8.507395635887323e-05,1.0
8,127.733823599,87.1518290559,50.6995694101,30.2617635602,89.9692421544,81.1857834615,84.0633349173,74.6163134491,41.9037166648,43.6527545084,70.9014469887,72.8085111767,112.65015517,92.695765978,90.2977312127,102.467464101,124.758340979,121.111374595,67.9365169979,57.0703698351,98.8039731273,75.0267183104,80.3199348475,78.3255096723,37.9454429592,45.0965980344,58.3609827345,72.8805442554,14.2256770512,20.7771186773,52.3213216908,36.943657956,189.221880768,167.582272019,19.0641938728,3.74387752236,70.5167347929,183.124880944,161.401266995,68.9434713592,166.402627266,53.4185174377,47.8596200421,56.5558121302,75.3065728534,195.557468554,155.197503666,50.8031005997,122.596586863,69.8672637108,82.2946326623,72.7046409324,51.9367324646,116.584404762,206.162252276,122.568074426,111.17501486,114.647356482,61.3443469388,90.6350726337,67.9688160377,128.95342353,47.9443755648,35.0832949765,82.8304531748,71.9512205507,166.195171356,140.207138397,107.221113265,76.1005163109,34.0035547101,34.7527832445,111.522690839,121.54226583,104.63823575,149.905541617,146.449154803,87.4329405718,16.1646678527,41.7546065491,62.2460117789,35.7146480788,9.76630132632,14.9245079407,63.317553909,50.9864597597,30.3907680477,56.1165120019,19.260254958,36.4398603687,14.0071593714,10.3499914626,43.751949184,32.1020753918,58.5723007854,52.8506621132,49.9012906846,47.8422890833,120.314692494,128.496996107,77.6409573197,71.1235254331,47.9698830606,38.1858637552,62.5134958689,35.689798872,39.6829525965,20.360884928,99.9376723492,47.298700667,16.7356378427,8.624628015,31.6475327696,27.7205881457,77.3560225351,79.3151394381,36.2844714451,25.9040925301,37.2066771165,34.7976769311,42.4059406104,74.1875236817,30.720545056,111.137201604,116.571280638,111.494249831,164.750223626,191.621210988,42.5075813881,92.2511775799,39.428389871,56.4648992889,100.501054314,65.4926106447,89.2027804147,50.6975241566,73.164928448,38.9515908413,30.4063914328,11.3464636716,38.3683925058,27.6074404891,49.8052541131,80.9103971766,118.563821456,58.3249915594,65.229671355,73.197828251,94.4063087024,57.388086073,69.8779080526,36.0086315644,119.839973608,101.359487375,112.754973833,70.065621456,81.3847541432,62.1982001469,81.8010171603,63.2401628331,115.166438151,40.5099770247,91.8343157942,74.7017334584,154.179474309,289.800311651,37.3843374575,48.4295769972,166.705465409,24.9647516325,41.4378311918,21.8679845467,lognorm,1.2618526803548125e-05,1.0,lognorm,1.2618526803548125e-05,1.0
9,44.7746215387,21.7847308524,2.50602001697,0.0,18.8563036142,3.68279919198,2.54360548096,4.7277232395,9.03250021094,9.56877087603,0.415007555083,3.82171189218,7.35332555952,9.98015509204,5.15851818773,8.54251027733,42.7981868114,32.0393774692,25.8338620594,13.0010803268,0.283527184019,0.0,28.0829924567,4.05206866959,12.6905152133,3.39855103177,26.285649821,6.83879992739,18.004016876,8.65976013662,0.898952678027,0.0,7.94135753482,2.08576918778,0.714907270229,0.0,7.31662395273,6.49974652206,0.0,10.4018728673,16.7673557154,27.2598443152,1.46519720225,3.69123811995,17.5740478357,42.0276504146,14.1393778684,5.37662165331,6.09956432931,0.441108378833,22.8281504425,0.707243588837,319.818104111,0.58264719023,4.83901064875,15.6615428499,16.3479795473,36.9941242314,1.71459354798,3.89909415993,28.3893375218,20.6042989364,1.18660996253,23.2800779069,3.26217725832,2.1948780398,33.0373621556,56.8658067771,8.98076081695,13.0718916555,10.2031745069,9.89069624994,6.7780009908,6.5157333931,4.62794388181,4.57695082309,1.67029089311,12.843137071,8.08233392633,11.3009517469,5.03584593259,8.16899730241,1.45432965403,2.85788449929,5.41959854857,10.2038964156,0.515283585225,0.440003249585,4.1682641327,5.39421058825,3.71861893528,0.0,2.47905378225,1.84157929236,0.403869532326,1.90861329659,7.35687599808,3.60974596471,1.73383084768,1.5802219586,4.31802207554,4.22942020799,1.19397951981,1.56697705853,3.37967172727,3.30323121084,1.04157437948,0.880410459392,4.21299814377,5.26027168111,0.206230903792,0.308782978315,2.96163716488,11.305169268,2.42467475379,3.53074078629,5.58137955784,7.43334829126,5.27391296448,3.62565191206,8.51872473043,0.0,2.66985714213,6.90286571353,4.86065890987,24.9965032244,3.56615917936,1.37627865671,14.2497728688,3.89562075797,3.23514993813,16.102600097,24.9308829519,12.4926654097,5.17260207627,2.60579336914,1.11876147138,2.70911940682,14.1322202142,7.5916030133,0.0,4.48910018615,6.07986948518,16.9787851056,3.48426403194,7.33897738302,6.86029062633,0.343478999669,0.281583575343,5.41495277771,23.6467766524,0.705249951161,1.23749584371,2.01824289755,10.0108451611,8.07729953647,1.35236252503,0.0,5.05898541552,4.57393979506,5.16496572594,7.11940835825,17.0032563746,9.18796944781,2.31690466857,3.68957383001,7.24000318962,0.525539170057,2.66206377423,3.38405873443,8.23782840647,3.06999468753,beta,0.002312527699885153,0.2,beta,0.002312527699885153,0.2
